nx;ny;nz;x;y;z;Bx;By;Bz;Jx;Jy;Jz;rhoD;temperatureD;pressureD 
75;50;0;0.51;0.0100001;0;15.9017;1.67477;-21.0225;-10.4949;1347.89;-4.37002;4.94863e+07;39.7349;1.13752e+09;
75;50;1;0.51;0.0100001;0.04;24.9392;1.59523;-0.209018;19.4212;283.015;-0.035659;2.14559e+08;7.91237;1.13751e+09;
75;50;2;0.51;0.0100001;0.08;15.0283;1.26745;3.23424;15.9625;-46.3797;0.579267;3.32786e+08;5.10166;1.1375e+09;
75;50;3;0.51;0.0100001;0.12;10.3944;1.09247;4.06548;10.706;-14.8008;0.69586;4.16627e+08;4.07493;1.13747e+09;
75;50;4;0.51;0.0100001;0.16;7.77414;0.982006;4.25224;7.90464;-5.67357;0.703382;4.73455e+08;3.58574;1.13745e+09;
75;50;5;0.51;0.0100001;0.2;6.08821;0.904738;4.23083;6.15741;-2.62464;0.681085;5.05402e+08;3.35901;1.13742e+09;
75;50;6;0.51;0.0100001;0.24;4.91117;0.847219;4.13336;4.95529;-1.40281;0.650756;5.10951e+08;3.32244;1.1374e+09;
75;50;7;0.51;0.0100001;0.28;4.04337;0.802621;4.00811;4.07568;-0.845151;0.619436;4.98024e+08;3.4086;1.13737e+09;
75;50;8;0.51;0.0100001;0.32;3.37851;0.767048;3.87493;3.40464;-0.565515;0.589535;4.71658e+08;3.59906;1.13734e+09;
75;50;9;0.51;0.0100001;0.36;2.85469;0.738084;3.74276;2.87724;-0.411888;0.561855;4.37863e+08;3.87676;1.13732e+09;
75;50;10;0.51;0.0100001;0.4;2.43324;0.714132;3.61565;2.4536;-0.324497;0.536564;3.97641e+08;4.26882;1.1373e+09;
75;50;11;0.51;0.0100001;0.44;2.08862;0.694082;3.49545;2.10755;-0.271432;0.51359;3.56684e+08;4.75891;1.13728e+09;
75;50;12;0.51;0.0100001;0.48;1.80322;0.677136;3.38288;1.82116;-0.237326;0.492769;3.18451e+08;5.33018;1.13726e+09;
75;50;13;0.51;0.0100001;0.52;1.56449;0.6627;3.27812;1.58171;-0.215307;0.473918;2.81516e+08;6.02941;1.13724e+09;
75;50;14;0.51;0.0100001;0.56;1.36311;0.650319;3.18096;1.37983;-0.202412;0.456841;2.48639e+08;6.82657;1.13723e+09;
75;50;15;0.51;0.0100001;0.6;1.19206;0.639642;3.09114;1.20836;-0.191762;0.441374;2.1532e+08;7.88287;1.13722e+09;
75;50;16;0.51;0.0100001;0.64;1.04596;0.630389;3.00826;1.06196;-0.185242;0.427352;1.93552e+08;8.76931;1.1372e+09;
75;50;17;0.51;0.0100001;0.68;0.920527;0.622335;2.93187;0.936294;-0.181798;0.414624;1.69837e+08;9.9937;1.13719e+09;
75;50;18;0.51;0.0100001;0.72;0.812364;0.615297;2.86155;0.827921;-0.178097;0.403067;1.42089e+08;11.9453;1.13719e+09;
75;50;19;0.51;0.0100001;0.76;0.718767;0.609125;2.79685;0.734124;-0.174101;0.392558;1.2823e+08;13.2363;1.13718e+09;
75;50;20;0.51;0.0100001;0.8;0.63748;0.603696;2.73737;0.652711;-0.173078;0.383007;1.16746e+08;14.5382;1.13717e+09;
75;50;21;0.51;0.0100001;0.84;0.566655;0.598905;2.68265;0.581763;-0.171637;0.374297;9.94146e+07;17.0726;1.13717e+09;
75;50;22;0.51;0.0100001;0.88;0.504772;0.594665;2.63236;0.519785;-0.170989;0.366366;8.5439e+07;19.8651;1.13716e+09;
75;50;23;0.51;0.0100001;0.92;0.450554;0.590903;2.58616;0.465488;-0.170728;0.359127;7.78272e+07;21.8079;1.13716e+09;
75;50;24;0.51;0.0100001;0.96;0.402931;0.587557;2.54366;0.417785;-0.169983;0.352522;7.01681e+07;24.1883;1.13715e+09;
75;50;25;0.51;0.0100001;1;0.361004;0.584573;2.50457;0.375799;-0.169938;0.346478;5.87692e+07;28.8797;1.13715e+09;
75;50;26;0.51;0.0100001;1.04;0.323996;0.581906;2.46861;0.338733;-0.169672;0.340952;5.30228e+07;32.0095;1.13715e+09;
75;50;27;0.51;0.0100001;1.08;0.291272;0.579518;2.4355;0.305941;-0.168592;0.335885;4.93902e+07;34.3637;1.13714e+09;
75;50;28;0.51;0.0100001;1.12;0.262277;0.577373;2.40501;0.276902;-0.168486;0.331243;4.21212e+07;40.2939;1.13714e+09;
75;50;29;0.51;0.0100001;1.16;0.23651;0.575444;2.37691;0.251108;-0.169092;0.326984;3.94881e+07;42.9807;1.13714e+09;
75;50;30;0.51;0.0100001;1.2;0.213577;0.573705;2.35101;0.228137;-0.168873;0.323072;3.39699e+07;49.9624;1.13714e+09;
75;50;31;0.51;0.0100001;1.24;0.193133;0.572134;2.32709;0.207662;-0.168801;0.319476;2.8482e+07;59.5891;1.13714e+09;
75;50;32;0.51;0.0100001;1.28;0.174871;0.570712;2.30504;0.189364;-0.168455;0.316162;2.93294e+07;57.8674;1.13713e+09;
75;50;33;0.51;0.0100001;1.32;0.158526;0.569424;2.28464;0.173002;-0.168838;0.313112;2.90081e+07;58.5083;1.13713e+09;
75;50;34;0.51;0.0100001;1.36;0.143872;0.568254;2.26577;0.158332;-0.169171;0.310298;2.29513e+07;73.9483;1.13713e+09;
75;50;35;0.51;0.0100001;1.4;0.130707;0.567189;2.24832;0.145151;-0.169463;0.307697;1.8381e+07;92.3353;1.13713e+09;
75;50;36;0.51;0.0100001;1.44;0.118858;0.566218;2.23217;0.133275;-0.169052;0.305296;2.02657e+07;83.7478;1.13713e+09;
75;50;37;0.51;0.0100001;1.48;0.10817;0.565332;2.21715;0.122568;-0.168965;0.30307;1.64116e+07;103.415;1.13713e+09;
75;50;38;0.51;0.0100001;1.52;0.0985506;0.564523;2.20326;0.112901;-0.167349;0.301017;1.38844e+07;122.238;1.13713e+09;
75;50;39;0.51;0.0100001;1.56;0.0898411;0.563781;2.19034;0.104218;-0.169417;0.299108;1.56416e+07;108.506;1.13713e+09;
