nx;ny;nz;x;y;z;Bx;By;Bz;Jx;Jy;Jz;rhoD;temperatureD;pressureD 
75;50;0;0.5100000000;0.0100000000;0.0000000000;15.9019095853;1.6747756555;-21.0265108077;-10.4944237723;1347.8877768953;-4.3708676161;52879515.2442111745;36.4879669333;1137519400.8487375687;
75;50;1;0.5100000000;0.0100000000;0.0400000000;24.9394810381;1.5952369485;-0.2097574086;19.4214250717;283.0160912365;-0.0357902456;217560238.5750975121;7.8032274553;1137509987.3438546909;
75;50;2;0.5100000000;0.0100000000;0.0800000000;15.0282988264;1.2674456536;3.2341849163;15.9625291751;-46.3783021307;0.5792634429;329559665.7919503520;5.1516136954;1137494945.5947189213;
75;50;3;0.5100000000;0.0100000000;0.1200000000;10.3944464231;1.0924703358;4.0654517039;10.7060288217;-14.7982319927;0.6958544027;414411401.4237858368;4.0967105899;1137474774.7009562509;
75;50;4;0.5100000000;0.0100000000;0.1600000000;7.7741464649;0.9820057077;4.2521594519;7.9046590046;-5.6741338153;0.7033691601;474720633.9548572651;3.5761819930;1137450545.9980305131;
75;50;5;0.5100000000;0.0100000000;0.2000000000;6.0882065320;0.9047380479;4.2308120011;6.1573755401;-2.6228813638;0.6810807427;506059189.2674899153;3.3546423742;1137423892.0870000498;
75;50;6;0.5100000000;0.0100000000;0.2400000000;4.9111859494;0.8472187342;4.1333528917;4.9553035252;-1.4027776335;0.6507569202;512288639.6374779966;3.3137693977;1137396299.2556361908;
75;50;7;0.5100000000;0.0100000000;0.2800000000;4.0433646828;0.8026204680;4.0080626134;4.0756766929;-0.8452920511;0.6194287797;499000207.7369882665;3.4019337257;1137368976.0200500707;
75;50;8;0.5100000000;0.0100000000;0.3200000000;3.3785044239;0.7670479738;3.8748918540;3.4046072261;-0.5641949375;0.5895304115;472087103.4815358240;3.5957910421;1137342807.1064701275;
75;50;9;0.5100000000;0.0100000000;0.3600000000;2.8546891580;0.7380841168;3.7427174780;2.8772294870;-0.4114726599;0.5618499610;436841027.0827820321;3.8858303073;1137318368.6827633915;
75;50;10;0.5100000000;0.0100000000;0.4000000000;2.4332366511;0.7141314572;3.6156176601;2.4535830154;-0.3235331231;0.5365608824;397515585.0017503077;4.2701638568;1137295978.0099535225;
75;50;11;0.5100000000;0.0100000000;0.4400000000;2.0886206251;0.6940818143;3.4954264765;2.1075339031;-0.2704953677;0.5135851477;357235086.8092192092;4.7515671416;1137275755.1961199970;
75;50;12;0.5100000000;0.0100000000;0.4800000000;1.8032355475;0.6771358671;3.3828674243;1.8211652245;-0.2372776603;0.4927656152;318106396.4549817694;5.3359490570;1137257682.5456600973;
75;50;13;0.5100000000;0.0100000000;0.5200000000;1.5644902607;0.6626994878;3.2780918113;1.5817159780;-0.2158120959;0.4739145783;281418048.6782996537;6.0315093911;1137241654.2968039280;
75;50;14;0.5100000000;0.0100000000;0.5600000000;1.3631045197;0.6503192956;3.1809491124;1.3798082442;-0.2015706523;0.4568417981;247852253.2551239169;6.8482512349;1137227514.6160901496;
75;50;15;0.5100000000;0.0100000000;0.6000000000;1.1920641370;0.6396422641;3.0911292595;1.2083690434;-0.1919079637;0.4413733378;217671772.1409347928;7.7976851591;1137215084.6052009379;
75;50;16;0.5100000000;0.0100000000;0.6400000000;1.0459547160;0.6303889381;3.0082406317;1.0619471477;-0.1852250796;0.4273480613;190867835.4635063817;8.8926437915;1137204180.2605441974;
75;50;17;0.5100000000;0.0100000000;0.6800000000;0.9205221744;0.6223346261;2.9318543225;0.9362645567;-0.1805268727;0.4146219886;167268957.5728555303;10.1471631857;1137194623.6227230733;
75;50;18;0.5100000000;0.0100000000;0.7200000000;0.8123740284;0.6152966677;2.8615300044;0.8279127478;-0.1771780225;0.4030652308;146616616.3962321518;11.5764021213;1137186249.0706581941;
75;50;19;0.5100000000;0.0100000000;0.7600000000;0.7187708470;0.6091250755;2.7968313535;0.7341412143;-0.1747636574;0.3925604015;128615198.4439246516;13.1965892859;1137178906.3580339139;
75;50;20;0.5100000000;0.0100000000;0.8000000000;0.6374770972;0.6036956729;2.7373353294;0.6527065675;-0.1730073083;0.3830026634;112963330.5620568075;15.0249848533;1137172461.5532102403;
75;50;21;0.5100000000;0.0100000000;0.8400000000;0.5666521229;0.5989046341;2.6826376984;0.5817624351;-0.1717212841;0.3742974429;99372269.0088920424;17.0798542956;1137166796.7168458638;
75;50;22;0.5100000000;0.0100000000;0.8800000000;0.5047688617;0.5946650104;2.6323561815;0.5197775073;-0.1707759155;0.3663635865;87575689.4120381086;19.3804518417;1137161808.8704656822;
75;50;23;0.5100000000;0.0100000000;0.9200000000;0.4505521855;0.5909032737;2.5861320576;0.4654734337;-0.1700803889;0.3591268700;77334017.4521959737;21.9470023611;1137157408.6245794073;
75;50;24;0.5100000000;0.0100000000;0.9600000000;0.4029313703;0.5875570648;2.5436307281;0.4177769961;-0.1695698528;0.3525162953;68435347.5350299699;24.8006931925;1137153518.6829869556;
75;50;25;0.5100000000;0.0100000000;1.0000000000;0.3610029527;0.5845732978;2.5045415926;0.3757827737;-0.1691975736;0.3464742258;60694432.8096974997;27.9636671012;1137150072.3724063722;
75;50;26;0.5100000000;0.0100000000;1.0400000000;0.3240013411;0.5819064726;2.4685774459;0.3387236125;-0.1689293700;0.3409458143;53950643.3357732215;31.4590196096;1137147012.2550439379;
75;50;27;0.5100000000;0.0100000000;1.0800000000;0.2912753114;0.5795174402;2.4354735642;0.3059470249;-0.1687399492;0.3358830303;48065488.8482378627;35.3107878974;1137144288.8771027044;
75;50;28;0.5100000000;0.0100000000;1.1200000000;0.2622690222;0.5773729216;2.4049865875;0.2768961461;-0.1686103987;0.3312420708;42920017.9274948895;39.5439409894;1137141859.6469086817;
75;50;29;0.5100000000;0.0100000000;1.1600000000;0.2365065908;0.5754436369;2.3768932825;0.2510942394;-0.1685264427;0.3269828384;38412270.3131752684;44.1844077656;1137139687.8622276110;
75;50;30;0.5100000000;0.0100000000;1.2000000000;0.2135794157;0.5737045628;2.3509892444;0.2281319996;-0.1684772158;0.3230706044;34455004.5577169619;49.2590418149;1137137741.8615011933;
75;50;31;0.5100000000;0.0100000000;1.2400000000;0.1931357464;0.5721338190;2.3270875818;0.2076570838;-0.1684543890;0.3194728098;30973599.6588161976;54.7956298470;1137135994.2947577671;
